As-Of-Date,Symbol,Name,% of Assets,Market Value
2021-02-28,RBNC,RELIANT BANCORP INC COMMON STOCK USD.001,0.0119463900,719171.9700000000
2021-02-28,NWPX,NORTHWEST PIPE CO COMMON STOCK USD.01,0.0119269000,717998.9700000000
2021-02-28,NVEC,NVE CORP COMMON STOCK USD.01,0.0118979700,716257.0800000000
2021-02-28,GSKY,GREENSKY INC CLASS A COMMON STOCK,0.0118961300,716146.4800000000
2021-02-28,GATO,GATOS SILVER INC COMMON STOCK USD.001,0.0118690200,714514.6800000000
2021-02-28,ODT,ODONATE THERAPEUTICS INC COMMON STOCK USD.01,0.0118642400,714226.5000000000
2021-02-28,CBAY,CYMABAY THERAPEUTICS INC COMMON STOCK USD.0001,0.0118444500,713035.2000000000
2021-02-28,OPRT,OPORTUN FINANCIAL CORP COMMON STOCK USD.0001,0.0118195400,711535.6800000000
2021-02-28,SIGA,SIGA TECHNOLOGIES INC COMMON STOCK USD.0001,0.0117987800,710285.8400000000
2021-02-28,PRTK,PARATEK PHARMACEUTICALS INC COMMON STOCK USD.001,0.0117478300,707219.0400000000
2021-02-28,VMD,VIEMED HEALTHCARE INC COMMON STOCK,0.0117430200,706929.3800000000
2021-02-28,CEIX,CONSOL ENERGY INC COMMON STOCK USD.01,0.0117019200,704455.2700000000
2021-02-28,FNKO,FUNKO INC CLASS A COMMON STOCK USD.0001,0.0116943700,704000.7800000000
2021-02-28,RFL,RAFAEL HOLDINGS INC CLASS B COMMON STOCK USD.01,0.0116736800,702754.9800000000
2021-02-28,AMNB,AMER NATL BNKSHS/DANVILLE VA COMMON STOCK USD1.0,0.0116693000,702491.0000000000
2021-02-28,QTNT,QUOTIENT LTD COMMON STOCK,0.0116204600,699550.9800000000
2021-02-28,GTYH,GTY TECHNOLOGY HOLDINGS INC COMMON STOCK USD.0001,0.0116062500,698695.6000000000
2021-02-28,FC,FRANKLIN COVEY CO COMMON STOCK USD.05,0.0115746300,696792.4200000000
2021-02-28,CHS,CHICO S FAS INC COMMON STOCK USD.01,0.0115213900,693586.9100000000
2021-02-28,STFC,STATE AUTO FINANCIAL CORP COMMON STOCK,0.0115173300,693342.5200000000
2021-02-28,KRO,KRONOS WORLDWIDE INC COMMON STOCK USD.01,0.0115014400,692386.2000000000
2021-02-28,SFST,SOUTHERN FIRST BANCSHARES COMMON STOCK USD.01,0.0113844600,685344.0000000000
2021-02-28,IBIO,IBIO INC COMMON STOCK USD.001,0.0113835300,685287.6800000000
2021-02-28,MAXN,MAXEON SOLAR TECHNOLOGIE COMMON STOCK,0.0113706300,684511.1000000000
2021-02-28,NR,NEWPARK RESOURCES INC COMMON STOCK USD.01,0.0112882900,679554.3800000000
2021-02-28,AXDX,ACCELERATE DIAGNOSTICS INC COMMON STOCK,0.0112551100,677556.8800000000
2021-02-28,EIGR,EIGER BIOPHARMACEUTICALS INC COMMON STOCK USD.0001,0.0112434300,676854.1800000000
2021-02-28,BWB,BRIDGEWATER BANCSHARES INC COMMON STOCK USD.001,0.0112410100,676707.9500000000
2021-02-28,MVBF,MVB FINANCIAL CORP COMMON STOCK USD1.0,0.0112074800,674689.6000000000
2021-02-28,WTI,W+T OFFSHORE INC COMMON STOCK USD.00001,0.0111843200,673295.2100000000
2021-02-28,RBB,RBB BANCORP COMMON STOCK,0.0111803900,673058.8000000000
2021-02-28,TRNS,TRANSCAT INC COMMON STOCK USD.5,0.0111501700,671239.5900000000
2021-02-28,ONEW,ONEWATER MARINE INC CL A COMMON STOCK USD.01,0.0110947100,667901.1600000000
2021-02-28,WVE,WAVE LIFE SCIENCES LTD COMMON STOCK,0.0110925500,667771.2400000000
2021-02-28,OCX,ONCOCYTE CORP COMMON STOCK,0.0110897100,667599.7200000000
2021-02-28,CTO,CTO REALTY GROWTH INC REIT USD.01,0.0110721000,666540.0000000000
2021-02-28,FPI,FARMLAND PARTNERS INC REIT USD.01,0.0110608200,665861.0400000000
2021-02-28,STXS,STEREOTAXIS INC COMMON STOCK USD.001,0.0110576800,665672.0000000000
2021-02-28,MGTX,MEIRAGTX HOLDINGS PLC COMMON STOCK USD.00001,0.0110269700,663822.8800000000
2021-02-28,VRTV,VERITIV CORP COMMON STOCK USD.01,0.0110035900,662415.6800000000
2021-02-28,IDYA,IDEAYA BIOSCIENCES INC COMMON STOCK,0.0109738100,660622.9400000000
2021-02-28,CIA,CITIZENS INC COMMON STOCK,0.0109692700,660349.2300000000
2021-02-28,INBK,FIRST INTERNET BANCORP COMMON STOCK,0.0109359000,658340.5000000000
2021-02-28,CIVB,CIVISTA BANCSHARES INC COMMON STOCK,0.0108860400,655339.1700000000
2021-02-28,ARTNA,ARTESIAN RESOURCES CORP CL A COMMON STOCK USD1.0,0.0108431000,652754.0000000000
2021-02-28,PBYI,PUMA BIOTECHNOLOGY INC COMMON STOCK USD.0001,0.0108375500,652419.8400000000
2021-02-28,RCKY,ROCKY BRANDS INC COMMON STOCK,0.0108323400,652106.4000000000
2021-02-28,TACO,DEL TACO RESTAURANTS INC COMMON STOCK,0.0108060200,650521.7200000000
2021-02-28,MBIN,MERCHANTS BANCORP/IN COMMON STOCK,0.0107969000,649973.0000000000
2021-02-28,LXRX,LEXICON PHARMACEUTICALS INC COMMON STOCK USD.001,0.0107965900,649954.4300000000
2021-02-28,IVC,INVACARE CORP COMMON STOCK USD.25,0.0107956000,649894.7000000000
2021-02-28,EVFM,EVOFEM BIOSCIENCES INC COMMON STOCK USD.0001,0.0107840000,649196.3700000000
2021-02-28,TCS,CONTAINER STORE GROUP INC/TH COMMON STOCK USD.01,0.0107712400,648428.3400000000
2021-02-28,AKUS,AKOUOS INC COMMON STOCK,0.0107416300,646645.6500000000
2021-02-28,GEF.B,GREIF INC CL B COMMON STOCK,0.0107222700,645480.0000000000
2021-02-28,INS,INTELLIGENT SYSTEMS CORP COMMON STOCK USD.01,0.0107215200,645434.8800000000
2021-02-28,ESGC,EROS STX GLOBAL CORP COMMON STOCK GBP.3,0.0107178800,645215.9100000000
2021-02-28,NDLS,NOODLES + CO COMMON STOCK USD.01,0.0106518400,641240.3200000000
2021-02-28,BATRA,LIBERTY MEDIA CORP BRAVES A TRACKING STK,0.0106470900,640954.0800000000
2021-02-28,KALA,KALA PHARMACEUTICALS INC COMMON STOCK USD.001,0.0106190800,639268.1100000000
2021-02-28,APLT,APPLIED THERAPEUTICS INC COMMON STOCK USD.0001,0.0105955400,637851.2400000000
2021-02-28,NCMI,NATIONAL CINEMEDIA INC COMMON STOCK USD.01,0.0105910800,637582.3200000000
2021-02-28,LNDC,LANDEC CORP COMMON STOCK USD.001,0.0105708400,636363.9500000000
2021-02-28,ALGS,ALIGOS THERAPEUTICS INC COMMON STOCK USD.0001,0.0105283000,633803.2200000000
2021-02-28,SMBK,SMARTFINANCIAL INC COMMON STOCK USD1.0,0.0105244300,633570.0000000000
2021-02-28,UTMD,UTAH MEDICAL PRODUCTS INC COMMON STOCK USD.01,0.0104098100,626670.0000000000
2021-02-28,MTEM,MOLECULAR TEMPLATES INC COMMON STOCK USD.001,0.0103819900,624995.1000000000
2021-02-28,ATHA,ATHIRA PHARMA INC COMMON STOCK USD.0001,0.0103370600,622290.5400000000
2021-02-28,SONA,SOUTHERN NATL BANCORP OF VA COMMON STOCK USD.01,0.0102969000,619872.6000000000
2021-02-28,FRPH,FRP HOLDINGS INC COMMON STOCK USD.1,0.0102404900,616476.9800000000
2021-02-28,SELB,SELECTA BIOSCIENCES INC COMMON STOCK USD.0001,0.0101805800,612870.6000000000
2021-02-28,CZNC,CITIZENS + NORTHERN CORP COMMON STOCK USD1.0,0.0101284900,609734.3200000000
2021-02-28,IPI,INTREPID POTASH INC COMMON STOCK USD.001,0.0100921400,607546.4700000000
2021-02-28,PFIS,PEOPLES FINANCIAL SERVICES COMMON STOCK USD2.0,0.0100769500,606631.8000000000
2021-02-28,RGS,REGIS CORP COMMON STOCK USD.05,0.0100398200,604396.5000000000
2021-02-28,SMBC,SOUTHERN MISSOURI BANCORP COMMON STOCK USD.01,0.0100260000,603564.7200000000
2021-02-28,VITL,VITAL FARMS INC COMMON STOCK USD.0001,0.0100190900,603148.8000000000
2021-02-28,ANIP,ANI PHARMACEUTICALS INC COMMON STOCK USD.0001,0.0100114700,602690.1000000000
2021-02-28,USLM,UNITED STATES LIME + MINERAL COMMON STOCK USD.1,0.0099471500,598818.2200000000
2021-02-28,PKOH,PARK OHIO HOLDINGS CORP COMMON STOCK USD1.0,0.0099331600,597975.6800000000
2021-02-28,XBIT,XBIOTECH INC COMMON STOCK,0.0099216700,597284.0000000000
2021-02-28,STXB,SPIRIT OF TEXAS BANCSHARES I COMMON STOCK NPV,0.0099051500,596289.4800000000
2021-02-28,RVI,RETAIL VALUE INC REIT USD.1,0.0098849100,595071.1000000000
2021-02-28,FRGI,FIESTA RESTAURANT GROUP COMMON STOCK USD.01,0.0098802200,594789.0200000000
2021-02-28,CSTE,CAESARSTONE LTD COMMON STOCK,0.0098314100,591850.3500000000
2021-02-28,NESR,NATIONAL ENERGY SERVICES REU COMMON STOCK,0.0097794800,588724.0000000000
2021-02-28,VYNE,VYNE THERAPEUTICS INC COMMON STOCK USD.0001,0.0097698800,588146.4000000000
2021-02-28,POWL,POWELL INDUSTRIES INC COMMON STOCK USD.01,0.0097547600,587236.3200000000
2021-02-28,AOUT,AMERICAN OUTDOOR BRANDS INC COMMON STOCK,0.0097181500,585032.3700000000
2021-02-28,BTU,PEABODY ENERGY CORP COMMON STOCK,0.0097119400,584658.1000000000
2021-02-28,ZYXI,ZYNEX INC COMMON STOCK USD.001,0.0097074200,584386.4400000000
2021-02-28,RM,REGIONAL MANAGEMENT CORP COMMON STOCK USD.1,0.0096981000,583825.3200000000
2021-02-28,RLGT,RADIANT LOGISTICS INC COMMON STOCK USD.001,0.0096669400,581949.2000000000
2021-02-28,PKE,PARK AEROSPACE CORP COMMON STOCK USD.1,0.0096138700,578754.6300000000
2021-02-28,ANH,ANWORTH MORTGAGE ASSET CORP REIT USD.01,0.0096061100,578287.3600000000
2021-02-28,DYN,DYNE THERAPEUTICS INC COMMON STOCK,0.0095829300,576891.9800000000
2021-02-28,WTRH,WAITR HOLDINGS INC COMMON STOCK USD.0001,0.0095778300,576584.8800000000
2021-02-28,TPCO,TRIBUNE PUBLISHING CO COMMON STOCK USD.01,0.0095728400,576284.2200000000
2021-02-28,RESN,RESONANT INC COMMON STOCK USD.001,0.0095480700,574793.2400000000
2021-02-28,CASA,CASA SYSTEMS INC COMMON STOCK,0.0094681000,569979.2500000000
2021-02-28,CARE,CARTER BANKSHARES INC COMMON STOCK USD1.0,0.0094675500,569945.7400000000
2021-02-28,HFFG,HF FOODS GROUP INC COMMON STOCK,0.0094588300,569420.9400000000
2021-02-28,SMMF,SUMMIT FINANCIAL GROUP INC COMMON STOCK USD2.5,0.0094371300,568114.4700000000
2021-02-28,EOLS,EVOLUS INC COMMON STOCK USD.00001,0.0094321300,567813.6800000000
2021-02-28,NNBR,NN INC COMMON STOCK USD.01,0.0094246300,567362.3800000000
2021-02-28,CURO,CURO GROUP HOLDINGS CORP COMMON STOCK,0.0094220900,567209.5300000000
2021-02-28,CECE,CECO ENVIRONMENTAL CORP COMMON STOCK USD.01,0.0093397000,562249.4000000000
2021-02-28,FLNT,FLUENT INC COMMON STOCK,0.0093322400,561800.1600000000
2021-02-28,BRG,BLUEROCK RESIDENTIAL GROWTH REIT USD.01,0.0093297900,561652.9600000000
2021-02-28,CATO,CATO CORP CLASS A COMMON STOCK USD.033,0.0093175300,560914.7000000000
2021-02-28,CSTR,CAPSTAR FINANCIAL HOLDINGS I COMMON STOCK USD1.0,0.0092841400,558904.5900000000
2021-02-28,EBTC,ENTERPRISE BANCORP INC COMMON STOCK USD.01,0.0091552400,551145.0000000000
2021-02-28,FBIO,FORTRESS BIOTECH INC COMMON STOCK USD.001,0.0091543000,551088.2400000000
2021-02-28,RRBI,RED RIVER BANCSHARES INC COMMON STOCK,0.0091454400,550555.2000000000
2021-02-28,FNLC,FIRST BANCORP INC/ME COMMON STOCK USD.01,0.0091396200,550204.5600000000
2021-02-28,RUSHB,RUSH ENTERPRISES INC   CL B COMMON STOCK USD.01,0.0091351100,549933.4500000000
2021-02-28,AT,ATLANTIC POWER CORP COMMON STOCK,0.0091148800,548715.3000000000
2021-02-28,LMNR,LIMONEIRA CO COMMON STOCK USD.01,0.0090844300,546882.4200000000
2021-02-28,CONN,CONN S INC COMMON STOCK USD.01,0.0090396500,544186.5000000000
2021-02-28,CCB,COASTAL FINANCIAL CORP/WA COMMON STOCK,0.0090335000,543816.0000000000
2021-02-28,XERS,XERIS PHARMACEUTICALS INC COMMON STOCK USD.0001,0.0090041900,542051.5500000000
2021-02-28,MCBS,METROCITY BANKSHARES INC COMMON STOCK,0.0089723200,540133.4200000000
2021-02-28,CNBKA,CENTURY BANCORP INC  CL A COMMON STOCK USD1.0,0.0089686400,539911.4000000000
2021-02-28,EGAN,EGAIN CORP COMMON STOCK USD.001,0.0089176800,536844.0000000000
2021-02-28,SGC,SUPERIOR GROUP OF COS INC COMMON STOCK,0.0089060000,536140.5600000000
2021-02-28,HRTG,HERITAGE INSURANCE HOLDINGS COMMON STOCK USD.0001,0.0088830400,534758.8300000000
2021-02-28,DSKE,DASEKE INC COMMON STOCK,0.0088430100,532348.8000000000
2021-02-28,INFU,INFUSYSTEM HOLDINGS INC COMMON STOCK USD.0001,0.0088295500,531538.4200000000
2021-02-28,QMCO,QUANTUM CORP COMMON STOCK USD.01,0.0087923300,529298.1000000000
2021-02-28,NBEV,NEWAGE INC COMMON STOCK USD.001,0.0087465000,526539.1500000000
2021-02-28,HBCP,HOME BANCORP INC COMMON STOCK USD.01,0.0087377300,526011.0000000000
2021-02-28,LAKE,LAKELAND INDUSTRIES INC COMMON STOCK USD.01,0.0086937900,523365.4700000000
2021-02-28,EVLO,EVELO BIOSCIENCES INC COMMON STOCK,0.0086930700,523322.1700000000
2021-02-28,MNOV,MEDICINOVA INC COMMON STOCK USD.001,0.0086909000,523191.9600000000
2021-02-28,NTST,NETSTREIT CORP REIT USD.01,0.0086025900,517875.7500000000
2021-02-28,CMBM,CAMBIUM NETWORKS CORP COMMON STOCK USD.0001,0.0085802400,516530.0600000000
2021-02-28,FMAO,FARMERS + MERCHANTS BANCO/OH COMMON STOCK,0.0085208500,512954.7000000000
2021-02-28,AMAL,AMALGAMATED BK OF NEW YORK A COMMON STOCK USD.01,0.0085180700,512787.1200000000
2021-02-28,UBX,UNITY BIOTECHNOLOGY INC COMMON STOCK USD.0001,0.0084915800,511192.6500000000
2021-02-28,LAWS,LAWSON PRODUCTS INC COMMON STOCK USD1.0,0.0084791300,510443.0000000000
2021-02-28,MCBC,MACATAWA BANK CORP COMMON STOCK,0.0084558300,509040.6700000000
2021-02-28,AJX,GREAT AJAX CORP REIT USD.01,0.0084470400,508511.2500000000
2021-02-28,GNTY,GUARANTY BANCSHARES INC COMMON STOCK USD1.0,0.0084422200,508221.5000000000
2021-02-28,PCSB,PCSB FINANCIAL CORP COMMON STOCK USD.01,0.0084402500,508102.7200000000
2021-02-28,ACNB,ACNB CORP COMMON STOCK USD2.5,0.0084306900,507527.0200000000
2021-02-28,EZPW,EZCORP INC CL A COMMON STOCK USD.01,0.0083884500,504984.0000000000
2021-02-28,NRIM,NORTHRIM BANCORP INC COMMON STOCK USD1.0,0.0083424900,502217.5200000000
2021-02-28,SLDB,SOLID BIOSCIENCES INC COMMON STOCK USD.001,0.0082685500,497766.3500000000
2021-02-28,LYTS,LSI INDUSTRIES INC COMMON STOCK,0.0082617000,497353.7800000000
2021-02-28,PCYO,PURE CYCLE CORP COMMON STOCK USD.0033,0.0082480300,496530.7200000000
2021-02-28,TARS,TARSUS PHARMACEUTICALS INC COMMON STOCK USD.0001,0.0081875700,492891.2500000000
2021-02-28,PWFL,POWERFLEET INC COMMON STOCK USD.01,0.0081871600,492866.6200000000
2021-02-28,TSHA,TAYSHA GENE THERAPIES INC COMMON STOCK,0.0081684000,491737.4400000000
2021-02-28,ITI,ITERIS INC COMMON STOCK USD.1,0.0081221300,488951.8900000000
2021-02-28,SCOR,COMSCORE INC COMMON STOCK USD.001,0.0081124000,488366.3500000000
2021-02-28,HRMY,HARMONY BIOSCIENCES HOLDINGS COMMON STOCK USD.00001,0.0081115600,488315.4900000000
2021-02-28,GNSS,GENASYS INC COMMON STOCK USD.00001,0.0080934800,487227.2700000000
2021-02-28,GWRS,GLOBAL WATER RESOURCES INC COMMON STOCK USD.01,0.0080930000,487198.2900000000
2021-02-28,TLYS,TILLY S INC CLASS A SHRS COMMON STOCK USD.001,0.0080835500,486629.2800000000
2021-02-28,OESX,ORION ENERGY SYSTEMS INC COMMON STOCK,0.0080832600,486612.0000000000
2021-02-28,IDN,INTELLICHECK INC COMMON STOCK USD.001,0.0080643500,485473.4700000000
2021-02-28,PLPC,PREFORMED LINE PRODUCTS CO COMMON STOCK USD2.0,0.0080086800,482121.9200000000
2021-02-28,MGTA,MAGENTA THERAPEUTICS INC COMMON STOCK USD.001,0.0079902300,481011.1700000000
2021-02-28,FSBW,FS BANCORP INC COMMON STOCK,0.0079866500,480795.9000000000
2021-02-28,SMSI,SMITH MICRO SOFTWARE INC COMMON STOCK USD.001,0.0078933700,475180.2000000000
2021-02-28,CDZI,CADIZ INC COMMON STOCK USD.01,0.0078666700,473573.2900000000
2021-02-28,KVHI,KVH INDUSTRIES INC COMMON STOCK USD.01,0.0078570000,472991.1600000000
2021-02-28,NKSH,NATIONAL BANKSHARES INC/VA COMMON STOCK USD1.25,0.0078129900,470341.4400000000
2021-02-28,TAST,CARROLS RESTAURANT GROUP INC COMMON STOCK USD.01,0.0078047700,469846.8600000000
2021-02-28,CVLG,COVENANT LOGISTICS GROUP INC COMMON STOCK USD.01,0.0077920400,469080.3600000000
2021-02-28,XOMA,XOMA CORP COMMON STOCK USD.0005,0.0077884200,468862.4000000000
2021-02-28,DSSI,DIAMOND S SHIPPING INC COMMON STOCK USD.001,0.0077382000,465839.1000000000
2021-02-28,CSPR,CASPER SLEEP INC COMMON STOCK USD.000001,0.0077114200,464227.0900000000
2021-02-28,CNTY,CENTURY CASINOS INC COMMON STOCK USD.01,0.0076922200,463071.1800000000
2021-02-28,GHL,GREENHILL + CO INC COMMON STOCK USD.01,0.0076603100,461150.4000000000
2021-02-28,KDNY,CHINOOK THERAPEUTICS INC COMMON STOCK USD.0001,0.0076564900,460920.1800000000
2021-02-28,FTHM,FATHOM HOLDINGS INC COMMON STOCK,0.0076315700,459420.3600000000
2021-02-28,PVBC,PROVIDENT BANCORP INC COMMON STOCK USD.01,0.0076037600,457745.7500000000
2021-02-28,AGS,PLAYAGS INC COMMON STOCK USD.01,0.0075815500,456408.8800000000
2021-02-28,ORRF,ORRSTOWN FINL SERVICES INC COMMON STOCK,0.0075768200,456124.2000000000
2021-02-28,ETNB,89BIO INC COMMON STOCK USD.001,0.0075715900,455809.0400000000
2021-02-28,ESCA,ESCALADE INC COMMON STOCK,0.0074897700,450883.6800000000
2021-02-28,INBX,INHIBRX INC COMMON STOCK USD.0001,0.0074756800,450035.6800000000
2021-02-28,GLRE,GREENLIGHT CAPITAL RE LTD A COMMON STOCK USD.01,0.0074641700,449342.7800000000
2021-02-28,HARP,HARPOON THERAPEUTICS INC COMMON STOCK USD.0001,0.0074612600,449167.6500000000
2021-02-28,RVP,RETRACTABLE TECHNOLOGIES INC COMMON STOCK,0.0074476000,448344.9000000000
2021-02-28,MSON,MISONIX INC COMMON STOCK USD.0001,0.0074359300,447642.8400000000
2021-02-28,SPFI,SOUTH PLAINS FINANCIAL INC COMMON STOCK USD1.0,0.0074337100,447509.1000000000
2021-02-28,LCNB,LCNB CORPORATION COMMON STOCK,0.0073861800,444647.9400000000
2021-02-28,PFBI,PREMIER FINANCIAL BANCORP COMMON STOCK,0.0073662800,443449.4400000000
2021-02-28,RAPT,RAPT THERAPEUTICS INC COMMON STOCK,0.0073525700,442624.0500000000
2021-02-28,PVAC,PENN VIRGINIA CORP COMMON STOCK,0.0073282700,441161.7600000000
2021-02-28,AAOI,APPLIED OPTOELECTRONICS INC COMMON STOCK USD.001,0.0073249300,440960.6000000000
2021-02-28,AFIB,ACUTUS MEDICAL INC COMMON STOCK USD.001,0.0073239400,440900.8800000000
2021-02-28,TSBK,TIMBERLAND BANCORP INC COMMON STOCK USD.01,0.0073136500,440281.5000000000
2021-02-28,FDBC,FIDELITY D+D BANCORP INC COMMON STOCK,0.0072967600,439264.8000000000
2021-02-28,ASPU,ASPEN GROUP INC COMMON STOCK USD.001,0.0072848500,438547.6800000000
2021-02-28,FCBP,FIRST CHOICE BANCORP COMMON STOCK,0.0072785800,438170.3900000000
2021-02-28,PTVCB,PROTECTIVE INSURANCE CORP  B COMMON STOCK,0.0072748800,437947.5600000000
2021-02-28,CNCE,CONCERT PHARMACEUTICALS INC COMMON STOCK USD.001,0.0072357600,435592.5900000000
2021-02-28,INDT,INDUS REALTY TRUST INC COMMON STOCK USD.01,0.0072271800,435075.6000000000
2021-02-28,USX,US XPRESS ENTERPRISES INC  A COMMON STOCK USD.01,0.0072039400,433677.0000000000
2021-02-28,VRA,VERA BRADLEY INC COMMON STOCK,0.0071800900,432241.0300000000
2021-02-28,WMC,WESTERN ASSET MORTGAGE CAPIT REIT USD.01,0.0071708100,431682.6800000000
2021-02-28,CHMA,CHIASMA INC COMMON STOCK USD.01,0.0071647800,431319.3100000000
2021-02-28,BCML,BAYCOM CORP COMMON STOCK,0.0071627600,431197.7900000000
2021-02-28,RYI,RYERSON HOLDING CORP COMMON STOCK USD.01,0.0071613700,431114.1800000000
2021-02-28,ATLO,AMES NATIONAL CORP COMMON STOCK USD2.0,0.0071424300,429973.7400000000
2021-02-28,HCHC,HC2 HOLDINGS INC COMMON STOCK USD.001,0.0071231500,428813.0000000000
2021-02-28,AGRX,AGILE THERAPEUTICS INC COMMON STOCK USD.0001,0.0071197500,428608.6700000000
2021-02-28,CALA,CALITHERA BIOSCIENCES INC COMMON STOCK USD.001,0.0071123900,428165.4400000000
2021-02-28,DZSI,DZS INC COMMON STOCK USD.001,0.0071062800,427797.7600000000
2021-02-28,HURC,HURCO COMPANIES INC COMMON STOCK,0.0070989000,427353.7100000000
2021-02-28,NBN,NORTHEAST BANK COMMON STOCK USD1.0,0.0070787700,426141.7300000000
2021-02-28,BYSI,BEYONDSPRING INC COMMON STOCK USD.0001,0.0070473700,424251.3000000000
2021-02-28,TBNK,TERRITORIAL BANCORP INC COMMON STOCK USD.01,0.0070273500,423046.3800000000
2021-02-28,ISTR,INVESTAR HOLDING CORP COMMON STOCK USD1.0,0.0070092800,421958.4000000000
2021-02-28,DAKT,DAKTRONICS INC COMMON STOCK,0.0070025400,421552.6100000000
2021-02-28,LCI,LANNETT CO INC COMMON STOCK USD.001,0.0070016200,421497.2400000000
2021-02-28,ITIC,INVESTORS TITLE CO COMMON STOCK,0.0069834400,420402.9000000000
2021-02-28,IIN,INTRICON CORP COMMON STOCK USD1.0,0.0069745800,419869.5200000000
2021-02-28,BCBP,BCB BANCORP INC COMMON STOCK,0.0069690500,419536.5300000000
2021-02-28,TIG,TREAN INSURANCE GROUP INC COMMON STOCK,0.0069686800,419514.4800000000
2021-02-28,VLGEA,VILLAGE SUPER MARKET CLASS A COMMON STOCK,0.0069464000,418173.1000000000
2021-02-28,SPOK,SPOK HOLDINGS INC COMMON STOCK USD.0001,0.0069407600,417833.4400000000
2021-02-28,CYBE,CYBEROPTICS CORP COMMON STOCK,0.0069199000,416577.7500000000
2021-02-28,LBC,LUTHER BURBANK CORP COMMON STOCK,0.0069046500,415659.3100000000
2021-02-28,BVH,BLUEGREEN VACATIONS HOLDING COMMON STOCK USD.01,0.0068748300,413864.5600000000
2021-02-28,PKBK,PARKE BANCORP INC COMMON STOCK USD.1,0.0068671600,413402.5500000000
2021-02-28,EVI,EVI INDUSTRIES INC COMMON STOCK USD.025,0.0068153900,410286.0000000000
2021-02-28,JNCE,JOUNCE THERAPEUTICS INC COMMON STOCK USD.001,0.0068103400,409982.2200000000
2021-02-28,LIVX,LIVEXLIVE MEDIA INC COMMON STOCK USD.001,0.0067898300,408747.2300000000
2021-02-28,SHBI,SHORE BANCSHARES INC COMMON STOCK USD.01,0.0067744500,407821.5000000000
2021-02-28,WNEB,WESTERN NEW ENGLAND BANCORP COMMON STOCK USD.01,0.0067603400,406972.0800000000
2021-02-28,NXTC,NEXTCURE INC COMMON STOCK USD.001,0.0067448600,406040.4800000000
2021-02-28,AVEO,AVEO PHARMACEUTICALS INC COMMON STOCK USD.001,0.0067120100,404062.6800000000
2021-02-28,HBMD,HOWARD BANCORP INC COMMON STOCK USD.01,0.0067101000,403947.5000000000
2021-02-28,FULC,FULCRUM THERAPEUTICS INC COMMON STOCK USD.001,0.0067040400,403583.0500000000
2021-02-28,GNK,GENCO SHIPPING + TRADING LTD COMMON STOCK USD.01,0.0066457000,400071.0000000000
2021-02-28,CVCY,CENTRAL VALLEY COMM BANCORP COMMON STOCK,0.0066353500,399448.0200000000
2021-02-28,MLSS,MILESTONE SCIENTIFIC INC COMMON STOCK USD.001,0.0066142600,398177.9200000000
2021-02-28,BELFB,BEL FUSE INC CL B COMMON STOCK USD.1,0.0066020000,397440.2500000000
2021-02-28,COFS,CHOICEONE FINANCIAL SVCS INC COMMON STOCK,0.0065853100,396435.6000000000
2021-02-28,FVCB,FVCBANKCORP INC COMMON STOCK USD.01,0.0065845600,396390.4000000000
2021-02-28,NETI,ENETI INC COMMON STOCK USD.01,0.0065712500,395588.6700000000
2021-02-28,RMNI,RIMINI STREET INC COMMON STOCK,0.0065408700,393760.2900000000
2021-02-28,UTI,UNIVERSAL TECHNICAL INSTITUT COMMON STOCK USD.0001,0.0065005500,391333.0700000000
2021-02-28,SMED,SHARPS COMPLIANCE CORP COMMON STOCK USD.01,0.0064973500,391140.0000000000
2021-02-28,ALTG,ALTA EQUIPMENT GROUP INC COMMON STOCK USD.0001,0.0064862100,390469.2200000000
2021-02-28,EVC,ENTRAVISION COMMUNICATIONS A COMMON STOCK USD.0001,0.0064827400,390260.9200000000
2021-02-28,FBIZ,FIRST BUSINESS FINANCIAL SER COMMON STOCK USD.01,0.0064748800,389787.6000000000
2021-02-28,CWCO,CONSOLIDATED WATER CO ORD SH COMMON STOCK USD.6,0.0064519900,388409.3500000000
2021-02-28,EGLE,EAGLE BULK SHIPPING INC COMMON STOCK USD.01,0.0064367700,387493.3800000000
2021-02-28,HMTV,HEMISPHERE MEDIA GROUP INC COMMON STOCK USD.0001,0.0064117600,385987.5500000000
2021-02-28,GORO,GOLD RESOURCE CORP COMMON STOCK USD.001,0.0063971100,385105.7800000000
2021-02-28,KZR,KEZAR LIFE SCIENCES INC COMMON STOCK USD.001,0.0063961300,385046.7200000000
2021-02-28,ODC,OIL DRI CORP OF AMERICA COMMON STOCK USD.1,0.0063389300,381603.1200000000
2021-02-28,SNCR,SYNCHRONOSS TECHNOLOGIES INC COMMON STOCK USD.0001,0.0063281400,380953.4200000000
2021-02-28,GPX,GP STRATEGIES CORP COMMON STOCK USD.01,0.0062801600,378065.2200000000
2021-02-28,EXPR,EXPRESS INC COMMON STOCK,0.0062757500,377799.7400000000
2021-02-28,NATH,NATHAN S FAMOUS INC COMMON STOCK USD.01,0.0062688500,377384.4000000000
2021-02-28,ULH,UNIVERSAL LOGISTICS HOLDINGS COMMON STOCK,0.0062686000,377369.2000000000
2021-02-28,PFHD,PROFESSIONAL HOLDING CORP A COMMON STOCK,0.0062490400,376192.0000000000
2021-02-28,APT,ALPHA PRO TECH LTD COMMON STOCK USD.01,0.0062485100,376159.8600000000
